dt;Act, sec-1;Q, Mev;dAct, sec-1;dQ, Mev;
pu239;
8640;5.03718e+17;4.77667e+10;0;0;
17280;1.00744e+18;9.55335e+10;0;0;
25920;1.51115e+18;1.433e+11;0;0;
34560;2.01487e+18;1.91067e+11;0;0;
43200;2.51859e+18;2.38834e+11;0;0;
51840;3.02231e+18;2.866e+11;0;0;
60480;3.52603e+18;3.34367e+11;0;0;
69120;4.02975e+18;3.82134e+11;0;0;
77760;4.53346e+18;4.29901e+11;0;0;
86400;5.03718e+18;4.77667e+11;0;0;
u235;
8640;5.03718e+17;4.77667e+10;0;0;
17280;1.00744e+18;9.55335e+10;0;0;
25920;1.51115e+18;1.433e+11;0;0;
34560;2.01487e+18;1.91067e+11;0;0;
43200;2.51859e+18;2.38834e+11;0;0;
51840;3.02231e+18;2.866e+11;0;0;
60480;3.52603e+18;3.34367e+11;0;0;
69120;4.02975e+18;3.82134e+11;0;0;
77760;4.53346e+18;4.29901e+11;0;0;
86400;5.03718e+18;4.77667e+11;0;0;
u238;
8640;5.03718e+17;4.77667e+10;0;0;
17280;1.00744e+18;9.55335e+10;0;0;
25920;1.51115e+18;1.433e+11;0;0;
34560;2.01487e+18;1.91067e+11;0;0;
43200;2.51859e+18;2.38834e+11;0;0;
51840;3.02231e+18;2.866e+11;0;0;
60480;3.52603e+18;3.34367e+11;0;0;
69120;4.02975e+18;3.82134e+11;0;0;
77760;4.53346e+18;4.29901e+11;0;0;
86400;5.03718e+18;4.77667e+11;0;0;
